# error		t
1.56303359986e-14	1e-06
3.51682559968e-14	2e-06
6.25213439943e-14	3e-06
9.76895999914e-14	4e-06
1.40673023987e-13	5e-06
1.91471615983e-13	6e-06
2.50085375976e-13	7e-06
3.16514303971e-13	8e-06
3.90758399964e-13	9e-06
4.72817663954e-13	1e-05
5.62692095946e-13	1.1e-05
6.60381695937e-13	1.2e-05
7.65886463927e-13	1.3e-05
8.79206399916e-13	1.4e-05
1.0003415039e-12	1.5e-05
1.12929177588e-12	1.6e-05
1.26605721587e-12	1.7e-05
1.41063782385e-12	1.8e-05
1.56303359984e-12	1.9e-05
1.72324454382e-12	2e-05
1.89127065579e-12	2.1e-05
2.06711193576e-12	2.2e-05
2.25076838374e-12	2.3e-05
2.44223999971e-12	2.4e-05
2.64152678369e-12	2.5e-05
2.84862873566e-12	2.6e-05
3.06354585563e-12	2.7e-05
