#	J=1				J=2				J=3				J=4				J=5				J=6				J=7				J=8				J=9				J=10				J=11				J=12
5.40	0.06699963		5.40	0.06704238		5.40	0.06710650		5.40	0.06719200		5.40	0.06729887		5.40	0.06742712		5.40	0.06757675		5.40	0.06774775		5.40	0.06794012		5.40	0.06815387		5.40	0.06838899		5.40	0.06864549
5.60	0.06710170		5.60	0.06714145		5.60	0.06720107		5.60	0.06728058		5.60	0.06737995		5.60	0.06749920		5.60	0.06763833		5.60	0.06779733		5.60	0.06797621		5.60	0.06817496		5.60	0.06839359		5.60	0.06863210
5.80	0.06719510		5.80	0.06723216		5.80	0.06728775		5.80	0.06736186		5.80	0.06745450		5.80	0.06756567		5.80	0.06769537		5.80	0.06784359		5.80	0.06801035		5.80	0.06819563		5.80	0.06839944		5.80	0.06862178
6.00	0.06727875		6.00	0.06731337		6.00	0.06736531		6.00	0.06743457		6.00	0.06752114		6.00	0.06762502		6.00	0.06774621		6.00	0.06788472		6.00	0.06804054		6.00	0.06821368		6.00	0.06840413		6.00	0.06861189
6.20	0.06735265		6.20	0.06738508		6.20	0.06743372		6.20	0.06749858		6.20	0.06757965		6.20	0.06767694		6.20	0.06779044		6.20	0.06792016		6.20	0.06806609		6.20	0.06822824		6.20	0.06840660		6.20	0.06860117
6.40	0.06741744		6.40	0.06744787		6.40	0.06749352		6.40	0.06755439		6.40	0.06763048		6.40	0.06772178		6.40	0.06782830		6.40	0.06795003		6.40	0.06808699		6.40	0.06823916		6.40	0.06840655		6.40	0.06858915
6.60	0.06747403		6.60	0.06750265		6.60	0.06754558		6.60	0.06760281		6.60	0.06767436		6.60	0.06776021		6.60	0.06786037		6.60	0.06797484		6.60	0.06810362		6.60	0.06824671		6.60	0.06840410		6.60	0.06857581
6.80	0.06752339		6.80	0.06755035		6.80	0.06759079		6.80	0.06764470		6.80	0.06771210		6.80	0.06779298		6.80	0.06788733		6.80	0.06799517		6.80	0.06811649		6.80	0.06825128		6.80	0.06839955		6.80	0.06856131
7.00	0.06756646		7.00	0.06759190		7.00	0.06763006		7.00	0.06768094		7.00	0.06774454		7.00	0.06782086		7.00	0.06790991		7.00	0.06801167		7.00	0.06812615		7.00	0.06825335		7.00	0.06839327		7.00	0.06854591
7.20	0.06760410		7.20	0.06762815		7.20	0.06766422		7.20	0.06771231		7.20	0.06777243		7.20	0.06784457		7.20	0.06792873		7.20	0.06802492		7.20	0.06813313		7.20	0.06825336		7.20	0.06838562		7.20	0.06852990
7.40	0.06763708		7.40	0.06765985		7.40	0.06769399		7.40	0.06773952		7.40	0.06779643		7.40	0.06786473		7.40	0.06794440		7.40	0.06803546		7.40	0.06813790		7.40	0.06825172		7.40	0.06837692		7.40	0.06851351
7.60	0.06766606		7.60	0.06768764		7.60	0.06772001		7.60	0.06776317		7.60	0.06781713		7.60	0.06788188		7.60	0.06795741		7.60	0.06804374		7.60	0.06814086		7.60	0.06824877		7.60	0.06836747		7.60	0.06849696
7.80	0.06769159		7.80	0.06771208		7.80	0.06774282		7.80	0.06778379		7.80	0.06783502		7.80	0.06789649		7.80	0.06796820		7.80	0.06805016		7.80	0.06814236		7.80	0.06824481		7.80	0.06835750		7.80	0.06848044
8.00	0.06771415		8.00	0.06773363		8.00	0.06776284		8.00	0.06780180		8.00	0.06785049		8.00	0.06790893		8.00	0.06797710		8.00	0.06805501		8.00	0.06814266		8.00	0.06824005		8.00	0.06834718		8.00	0.06846404
8.20	0.06773413		8.20	0.06775267		8.20	0.06778048		8.20	0.06781756		8.20	0.06786391		8.20	0.06791953		8.20	0.06798441		8.20	0.06805857		8.20	0.06814200		8.20	0.06823469		8.20	0.06833666		8.20	0.06844790
8.40	0.06775189		8.40	0.06776955		8.40	0.06779605		8.40	0.06783139		8.40	0.06787556		8.40	0.06792856		8.40	0.06799039		8.40	0.06806106		8.40	0.06814056		8.40	0.06822889		8.40	0.06832606		8.40	0.06843206
8.60	0.06776768		8.60	0.06778454		8.60	0.06780982		8.60	0.06784353		8.60	0.06788567		8.60	0.06793623		8.60	0.06799522		8.60	0.06806264		8.60	0.06813849		8.60	0.06822276		8.60	0.06831546		8.60	0.06841659
8.80	0.06778176		8.80	0.06779786		8.80	0.06782201		8.80	0.06785420		8.80	0.06789445		8.80	0.06794274		8.80	0.06799908		8.80	0.06806347		8.80	0.06813591		8.80	0.06821639		8.80	0.06830493		8.80	0.06840151
9.00	0.06779433		9.00	0.06780972		9.00	0.06783280		9.00	0.06786358		9.00	0.06790206		9.00	0.06794823		9.00	0.06800209		9.00	0.06806365		9.00	0.06813290		9.00	0.06820985		9.00	0.06829450		9.00	0.06838684
9.20	0.06780556		9.20	0.06782029		9.20	0.06784238		9.20	0.06787184		9.20	0.06790866		9.20	0.06795284		9.20	0.06800439		9.20	0.06806330		9.20	0.06812958		9.20	0.06820322		9.20	0.06828422		9.20	0.06837259
